"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,95000,98000,99900,95645,97195,104000,107900,109900,115000,109000,104998,110000,115000,115000,114900,103000,109276,119900,122000,127250,122250,129500,119900,124900,124900
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91000,92250,95000,97900,99900,104947.5,105000,108500,109900,112050,109000,108695,109900,110000,110000,110000,110950,112974.5,115000,116950,119900,119500,124900,125000,125000,128700,130000,133000,134950,134949.5,132000,135000,135900,142000,146000,146950,148000,147500,147000,148000,149900,150000,153041,154900,158900,159900,159900,159900,160000,160000,160469.5,161900,165000,165000,169000,171243.5,175000,175000,176900,179000,179900
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,73900,68300,66500,65700,65500,65000,66200,68700,68000,68500,68250,69900,70000,65000,66400,67000,65000,62950,60000,60000,60000,61900,61000,60000,59700,59950,59900,60000,62500,63600,65000,60000,62900,64450,60000,69000,69000,69990,70000,70000,75000,76000,75000,80000,79900,79900,79900,80000,81000,82250,83000,84900,84000,84900,84000,85000,84900,84900,84460,89000,89900,89900,92250,94900,97900,90000,98500,99000,99000,99900,103800,104900,104888,105000,105000,105000,104900,112000,108000,109900,115000,119900,118700,117850,119900,124900,125000,128000,125000,125000,129888,135000,139000,134450,134700,135000,139000,144900,149000,149900,144900,150000,149900,148800,150000,155000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",4,199900,2e+05,2e+05,209900,215000,217355,212000,209900,210000,209900,214000,214900,219000,214900,215000,210000,205000,210000,209999.5,210000,205150,204000,207900,201600,206050,205000,209000,212000,209000,205000,212900,215000,215000,219900,225000,229500,235248.5,239900,240000,248000,255000,269900,279999.5,279999,280000,280000,280000,290000,280000,285900,290000,299999,309000,306000,315000,318000,309499.5,310000,315000,310000,315000,320000,322000,330000,330000,329900,330000,330000,335000,334500,339000,340000,345000,349000,350000,359000,359450,364900,375000,370000,374999.5,375000,374999,374999.5,375000,375000,393000,389999,399999,4e+05,4e+05,4e+05,409000,419900,425000,429900,430000,429000,430000,436750,449900,450000,450000,449900,449000,449000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,70000,69000,69000,68944,68000,67815,68000,69900,68000,67900,65720,65000,65000,63000,62000,62000,60500,60000,59945,60000,59900,59900,59000,56000,55500,57800,57900,57500,59900,60000,60000,60000,58900,59900,57527,61850,63000,63700,65000,65000,69900,69900,69900,75000,75000,77900,77900,80000,80400,85000,84900,85000,85000,85500,84990,89900,89900,89990,88000,89900,92750,99000,99250,99000,1e+05,104900,99900,99900,105000,1e+05,105000,105000,104900,110000,108000,110000,110000,115000,117000,116990,120000,124400,128900,125000,127350,129000,135000,135000,134900,134900,135000,135000,138900,140000,140000,149250,148499.5,149900,149995,149900,150000,158500,155000,157700,165000,164900
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,69900,69900,69900,70000,70000,69900,69995,69900,68000,67500,65000,64900,65000,58500,61500,62300,62400,60000,59900,59900,59900,59850,59000,57900,57900,59900,60000,59900,61000,62000,64900,62450,64900,65000,65000,69900,72500,73000,75000,75000,77300,77100,79900,84900,84900,84900,85000,85495,84900,85000,85745,85990,89000,89000,87950,90000,90000,89900,90000,90000,89900,92250,92000,93000,95000,94500,95000,95000,99000,98000,98500,98500,99000,99999,1e+05,1e+05,1e+05,103900,106000,105950,108444,109250,110000,112000,115000,115000,119000,119950,120000,125000,129900,132000,135000,134900,135000,139000,144900,144900,145000,148990,149990,148995,150444,159900,159999,159900
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",7,170000,175000,170000,170000,175000,180000,189900,190000,180000,180000,180000,179999,184900,190000,189000,184500,185000,186887.5,189000,189000,185000,180000,180000,180000,184900,181324,184900,187000,195000,190000,186949,190000,189900,199000,2e+05,205000,209450,210000,215000,214950,229900,235000,239900,244500,250000,255000,254900,257000,259800,259950,259800,269000,269900,270000,280000,289250,282450,279949.5,289000,290000,287500,288000,289500,289900,295000,295990,299000,310000,316000,317000,309990,318000,319900,325000,329945,339000,341500,339900,340000,349900,349947.5,350000,350000,355000,360000,359000,359999,359000,360000,360000,367000,369500,369900,379900,380000,384900,389000,399000,395000,399000,399000,399000,4e+05,4e+05,4e+05,4e+05
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",8,249000,250000,250280,260000,255000,256000,250000,252500,259000,244700,247858,240000,236995,225000,239000,229499.5,229000,229000,229499.5,225000,227432,219949.5,209950,219721,212000,220250,219000,219000,2e+05,205000,199000,199000,197000,199000,198000,199999,199000,199999,199999,2e+05,2e+05,2e+05,2e+05,2e+05,199000,199000,199000,199000,199000,197000,199000,204300,209250,206450,2e+05,2e+05,199499.5,2e+05,210000,212100,216090,199000,199000,199120,199000,199000,199000,199000,199000,199000,199000,199000,2e+05,199000,199000,2e+05,215000,219000,220000,219000,226000,225000,225000,225000,225000,225000,249000,249000,235000,239000,228000,247500,250000,270375,270375,257000,256000,252499.5,255000,258000,260000,260000,275000,278905,282468,289995
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,129000,127950,129000,129450,134900,132500,134999.5,139000,142500,148000,147900,149000,140000,149900,149900,149350,149700,147900,150000,159900,156000,159900,158950,155900,163000,159000
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,84200,84950,85750,85000,84900,80700,82500,84500,79900,75900,76500,76700,75000,73550,74900,74800,74000,72100,69900,69900,71200,69900,69900,70100,70900,72000,74000,75000,76900,75000,75000,79000,76500,85000,85000,89000,89000,89900,91950,89993.5,94250,99500,107750,99900,105950,107750,110000,113500,117500,119900,120000,121250,122395,120000,120000,120000,116500,119000,119950,115250,115000,115000,109950,114900,120000,120000,114500,124900,125000,124950,126700,124950,125000,133000,131000,130000,134995,134900,139900,139450,133900,134900,139999.5,139000,139450,144000,148204.5,149000,148000,149000,149000,154000,150000,159500,159900,155000,158450,155900,149994.5,150000,150000,155000,159000,159900,159956.5,162900
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,109900,110000,110000,110000,109900,110000,110000,110000,110950,110000,114700,115000,117500,119000,119900,119900,119900,124600,124000,124900,122000,125000,125000,125890,128000,125800,126500,125000,130000,130000,134995,137700,137500,139900,139000,139900,144500,144500,149999,148499,142000,143250,146250,149000,149997.5,152900,155000,155000,155000,159900,159900,158450,158000,160000,159900,159825,162750,163200,169974.5
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116250,112449.5,115000,124999,120000,130995,120000,119900,120000,129900,125000,125000,125000,129900,130000,139900,137500,127900,140000,145000,139900,140000,145000,150000,150000,153000,149900,145450
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,135000,139000,139900,140000,142000,149000,149400,149000,152500,150000,149900,149900,150000,150000,149900,149900,149900,149950,151750,159900,160000,159500,160000,160000,159450,159450
"East Side","El Paso","TX","El Paso","El Paso County",14,87889,87894.5,88872,88380.5,85000,84900,85000,86800,89000,88000,87889,87894.5,87950,79900,85500,83460,85500,85000,85547,85000,85000,84770,84975,85747,85247,81900,81475,80000,85594,84000,84775,84900,84000,84650,84900,84900,84900,85000,85000,85000,86500,87000,87889,87000,87887.5,86750,87669,85000,85000,84900,83250,86193,84000,85443,85000,84975,84925,84999.5,85000,85886,85500,85886,85000,83950,84950,84500,84500,85000,84900,83750,84750,84500,85000,86000,85693,87000,85886,85886,84950,85000,85000,84450,83900,83900,84000,84675,84950,84450,84500,87500,88144,88450,87487,88000,85000,87838,88000,87950,87500,90000,94000,89950,89999,89999,93000,94950
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72000,71300,72900,73000,74900,75000,79900,79900,76000,83000,85000,84500,85000,83250,81450,92750,85500,89500,95000,95000,95000,1e+05,1e+05,108500,109900,110000,115000,109900,115000,118000,120000,120000,120450,119900,121900,122950,119000,125000,129900,138950,135000
"Alhambra","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80457,85500,90500,88000,90000,89500,89900,89900,1e+05,102500,99000,104900,104900,103950,105500,105000,105000,106900,110000,105000,105000,1e+05,110000,115000,118000,120000,129700,130000,129600,129900,129900,129900,129000,134794,134900,134999.5,135000,138000,139900,138900,139900,145500,149900,145000,145000,139900,147000,148450,149900,154900,155000,150000,151000,157000,159900,159900,157000,159000,161000,164900,161950
"Jamaica","New York","NY","New York-Newark-Jersey City","Queens County",17,249000,249999,249000,249000,249000,249000,249000,249000,249000,229000,225900,235000,229950,228000,225000,220000,225000,225000,225000,219000,225000,219000,215000,210900,205900,201500,199500,2e+05,199000,199995,2e+05,189400,185000,180000,188950,185000,188888,186250,169000,189000,189000,189000,195000,195375,195125,198762.5,195125,192500,199000,199000,219010,216950,211000,2e+05,199999.5,199000,2e+05,199000,2e+05,2e+05,2e+05,215000,2e+05,2e+05,199000,215000,219000,225000,225999,219450,222500,235000,209950,220000,204950,194500,199000,219000,225000,229000,220000,229000,232500,227000,210000,227000,214500,210250,219000,232800,232800,232800,232800,230000,210000,230500,244450,239900,235500,236000,225000,197500,209000,189500,220000,236000
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",18,94900,90000,89900,92000,90000,89900,90000,90000,85000,84900,84900,85500,85000,78000,80000,80000,79999,79900,77500,77250,78000,76000,76800,75000,74850,76000,75000,77000,78000,79000,80000,79900,78500,83700,79900,85000,85950,87500,89900,90000,95000,95000,97500,1e+05,105000,108450,109000,110500,110000,110000,111250,114900,115950,110000,113900,119000,119900,119000,115000,125000,125000,124050,125000,124700,126500,114450,119900,129000,130000,130000,125000,127900,125000,135000,139900,138675,139950,142000,139950,139950,139950,140000,139450,134900,134975,139950,145600,142000,148250,140450,144925,145300,149500,145950,145000,149700,150000,154925,157450,154994.5,159950,164900,165000,164900,175000,176500
"Williamsbridge","New York","NY","New York-Newark-Jersey City","Bronx County",19,160000,165000,170000,195000,180000,189000,195000,199000,194000,179000,179000,180000,169000,145000,165000,170000,170000,184500,204500,199000,209000,204000,169500,167000,159000,160000,159500,159500,169900,158750,160000,155000,164000,179500,162000,160000,149900,160000,160000,161000,157450,160000,149000,145000,149000,149000,147000,147000,147000,166500,169000,169999,185000,175000,175000,175000,175000,169000,175000,169000,167000,169000,159499.5,159000,149000,145000,152000,159000,159000,152000,150000,149000,150000,149000,150000,145000,152500,152000,142000,135000,137000,129000,135000,132500,135000,137000,143900,150000,160000,169000,150000,175000,180000,179950,175000,175000,175000,175000,175000,175000,193000,2e+05,175000,174900,180000,180000
"North Scottsdale","Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,149900,143900,145000,150000,162100,165000,164900,165000,164000,167500,166000,171000,170000,172450,170000,171450,164900,169000,174350,174900,165000,164900,165000,170000,167000,165000
"Roosevelt","Fresno","CA","Fresno","Fresno County",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,115000,115000,110000,107900,112000,115000,115000,119949.5,114950,115000,1e+05,1e+05,105900,114900,114900,119000,124000,119900,124000,125000,126975,122474.5,129997.5,129900,130000,130000,134925,130000,120000,125000,144900,144900,145000,147500,140000,139925,149900
"South Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,89900,95000,95000,99900,1e+05,105000,105000,105000,98888,99000,107500,109450,105000,109000,104500,1e+05,108000,110000,113000,116500,115000,117000,120000,119900,120000,119950,119900,119999,119900,119000,124450,125000,122500,126500,129000,135000,139000,140500,147000,149250,144900,139000,145995,139900,145000,150000,159000,164900,164900,159900,159900,159900,161900,163000,165000,165000,170000,170000,171500
"East San Jose","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",23,282000,279000,285000,289000,289000,290000,293587.5,295000,290000,290000,289450,290450,290000,285000,279950,279950,280000,289000,290000,297850,279944,289000,289000,290167,280000,289000,298350,3e+05,3e+05,319000,319000,324900,299450,325000,335500,349500,358702.5,360000,383270,399000,419000,415000,422475,424975,429000,449949.5,449999,449999,454944,468997.5,459888,467000,475000,475000,469444,460000,469900,469450,475000,475000,479500,498888,510000,519000,519000,519950,525000,530000,542295,529000,549000,535000,535000,548000,525000,539000,539900,548944,585000,589000,598000,585000,578500,586900,589888,599944,599888,599000,599000,599000,622425,599975,590000,579500,618000,599950,599000,679444,689000,719000,749000,747888.5,749700,749000,749899.5,744000
"South Side","Corpus Christi","TX","Corpus Christi","Nueces County",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000,85000,85000,84999,78750,78000,79200,78250,84900,86250,87700,85000,84950,83000
"Alief","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",25,74000,69999,69950,75450,74950,75000,75000,76700,75000,74900,70500,70000,69900,69900,66950,65000,66200,65000,65000,64000,64900,64900,64900,67305,65000,64900,64900,62750,60500,60000,64900,69850,67500,63000,62925,63000,65000,65000,64950,65000,65000,69900,69900,74331,77250,75000,78000,75500,75000,73250,74700,70750,74950,75000,79900,79900,78500,79975,79950,83450,79900,79900,82000,79700,85000,85900,90000,89900,90000,89250,85000,85000,85000,89693,92900,89900,85999,86000,92016,90000,90000,89995,92450,95000,99700,98000,102000,102000,99800,98000,95898,94800,95000,94950,104130,106999,105000,110000,110000,118900,121500,123250,120000,119900,115000,114995
"Southwest Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84500,84500,82182.5,81450,88500,80950,80000,84950,89900,89900,82000,85000,81950,89700,101950,105000,101000,1e+05,109950,109000,106500,109000,111547,120000,116152,119492.5,120000,124700,125000,123950,124000,125000,123000,135000,138168,132812.5,133150,145000,131625,130812.5,137500,139995,149900,149999,144000,149900
"Central City","Corpus Christi","TX","Corpus Christi","Nueces County",27,63900,59900,62700,59995,58000,55900,55000,56900,56000,56900,57000,55000,52950,54450,54450,55000,54950,55000,55000,54700,50839,49900,49900,50000,50000,50000,50000,49000,47575,49000,49900,49900,55000,55000,59637,57500,54900,54900,54250,55000,55000,54900,57000,58250,58900,57300,56400,58700,57500,58500,59900,63450,65000,62500,58000,57500,59900,59700,58000,58000,57750,60000,59900,62700,59900,60000,59900,65000,65000,63786,65000,66000,69250,65900,62500,60000,59950,64900,64700,68000,68000,65000,64900,65000,64950,66500,69000,68300,68000,69000,69500,68500,66500,66000,65000,65000,65000,64950,65000,64900,70000,68888,68000,66000,66000,65000
"Northeast","El Paso","TX","El Paso","El Paso County",28,82000,81450,81000,82250,82500,83000,83500,85000,84880,83450,81000,79975,80000,77500,79500,79700,82000,81950,80500,79500,79900,79900,79700,81450,82950,83283,81400,79900,80000,80000,81000,80000,79900,79900,78249.5,78000,78888,79500,79900,80000,80000,81000,80500,81500,83188,79900,79250,79900,79900,79932.5,80000,79900,79900,79750,79750,79625,79250,79000,77950,77000,79000,76750,79000,78080,79000,78450,75000,75000,76300,77700,79000,79000,77700,79000,79000,78150,79000,79000,79770,80000,79900,78000,79000,80000,81700,79975,83250,83980,84700,85000,85250,86000,87500,87500,85900,85900,87000,85810,84894,85000,85720,85000,85000,85000,85475,85800
"East","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,140000,139900,140000,140000,140000,140000,139450,139450,148000,149500,154280,150000,152450,154900
"South Scottsdale","Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,129600,130000,134500,133500,137000,139250,139850,141000,140000,143000,139950,139900,139900,146410,147000,149675,141000,145000,149900,155000,152000,151000,154900,155000,160000,160000
"North Long Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",31,229900,229900,229000,230000,237900,234000,235400,240000,235000,235000,235000,235450,225000,224500,224900,222750,220000,225000,225000,225000,220000,219000,219900,218000,214900,210000,217950,218950,219450,220000,222450,230000,230000,234950,240000,250000,259900,259000,259975,269900,280000,279000,285000,299900,299000,299900,3e+05,309499.5,309000,312500,315000,312450,319900,317450,315000,325000,319900,319900,319900,319000,325000,325000,330000,335000,340000,334000,339995,349900,350000,344500,339000,355000,359000,359000,370000,361200,370000,374900,372500,389000,395000,399000,389000,386500,379000,399000,399900,410000,410000,412500,422749.5,424900,425000,425000,429900,439000,439900,435000,435000,435000,447000,449999.5,452450,454950,449999.5,450000
"Sheepshead Bay","New York","NY","New York-Newark-Jersey City","Kings County",32,180000,186500,189000,189000,189900,189000,185000,185000,180000,179000,175000,179000,169997.5,170000,172500,169000,165000,159564,159000,162999,165000,159000,159000,159000,159000,159999,159999,159999,159999.5,169000,165000,166000,169900,170000,176500,179000,179000,179000,179000,170000,165000,165000,165000,169000,159000,164450,159000,159000,159000,158000,164950,166500,160500,172950,159000,159450,159000,159000,165000,159900,169000,171950,175000,179000,181000,179000,179000,179000,185000,195000,195000,195000,195000,199000,185500,189000,186000,186000,195000,199497.5,2e+05,201500,2e+05,2e+05,2e+05,2e+05,210000,225000,225000,217500,215000,225000,229000,229000,235000,242000,249000,249000,249000,249000,249000,249000,249000,249000,249000,248000
"Willow Glen","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459500,457500,485000,469000,499000,449950,499000,499974.5,499475,499475,505000,550000,529000,558250,548000,569000,589000,569000,588500,599000,582000,599000,599000,599000,625000,624950,599000,599000,593300,650000,650000,650000,649900,649950,692439,649000,649000,650000,696500,698000,699943.5,699999,699000,699000,699000,699475,699950,729000,729000,649000,659000,668500,729000,749000,789000,799000,799969,799900,793975,750000
"Southeast","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",34,95000,94900,97000,99000,96500,97000,96450,95000,95000,95000,96000,94900,90700,89900,89900,89725,90000,89999.5,89900,88000,89900,89908.5,89900,89895,90000,89900,89900,88675,89900,85000,89900,88500,88500,88500,87000,88750,86900,84999.5,84900,88000,89900,93000,94950,95000,95966,95000,95000,95000,95000,90000,93900,94900,96000,95500,95000,103500,99900,97000,95000,100950,107250,109900,110000,110500,110000,107750,111000,111700,110900,110000,109900,112900,112900,115000,115000,115000,117000,119900,125000,128950,125000,129250,129900,124950,121000,125000,129995,134898.5,141000,147151,145000,145000,142200,145000,148750,144999.5,144999.5,150000,152900,159450,159900,159900,163500,161500,165000,169900
"Northwest","El Paso","TX","El Paso","El Paso County",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,67500,68000,69000,70000,70000,65000,65000,65000,63950,65000,69450,66475,65000,59997.5,65000,61450,62900,56000,57000,57000,59500,65000,57000,59500,64750,65000,68500,70000,70000,69187.5,68950,69000,69000,69895,69447.5,69447.5,69447.5,70450,69900,61599,68800,59670,59340,60000,60000,59340,66925,65500,65000,67900,67836,67772,65995,69000,77348.5,79392.5,79000,79800,79612,80000,80354,79900,79900,80000,82223,81754,81754,82615.5,82223,83008,82754
"White Haven-Coro Lake","Memphis","TN","Memphis","Shelby County",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000,35000,34900,35000,35000,38900,37500,35000,35000,35000,39900,35500,35000,39000,38000,37700,36625,35000,32950,34300,32000,35000,37700,39500,37750,39900,39300,39000,38900,40000,42000,40000,42000,39900,42400,41120.5,40000,42000,40000,43000,40000,40000,40000,40000,39900,40000,42500,45000,44957,49000,49500,49950
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299500,274500,269900,279000,289500,289000,299000,294900,292450,289900,289900,286000,299000,291750,292450,299000,315000,3e+05,297000,299000,285000,289000,292400,299000,314900,314990,324450,347271.5,303819,296950,289000,299000,314900,320000,319000,319000,307474.5,299999,327000,334925,329450,342000,349999,350000,349000,356450,385000,385000,376186.5,384974.5,389000,409950,425000,425000
"Downtown","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",38,330000,326900,332475,329450.5,339000,349700,344900,340000,340000,329880,329000,329000,325500,319000,307000,319000,3e+05,300450,3e+05,315000,299000,3e+05,296500,299950,299000,3e+05,317000,320000,319750,310000,329999,348944,332450,359000,350000,375000,395000,389000,428000,425000,430000,449000,449000,449000,445000,480000,474990,489000,498500,476900,479149,490000,495250,495250,499000,499894.5,499894,499000,495000,497450,499999,519894,529944,539500,550000,587000,575000,578500,585000,572000,582444,589000,591450,577250,599000,605000,627000,609000,616500,599000,595000,624000,624950,599950,628000,627511,635000,627022,650000,659950,679444,678888,674000,692084,688000,687500,721750,778000,759000,789250,799000,848500,849000,825000,812500,799000
"Estrella","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000,128900,125000,130000,128900,125000,125250,129400,124900,125950,128450,126500,128950,129900,130500,134700,134950,135000,139949,139900,138000,142900,145500,145000,140000,145000,145000,150000,154925,155950,158000,156450,155000,150000,150000,160197,161679.5,162999,169900,171696.5,170900,169900,174900,174700,175000,169900,175000,179900,179900,180000,184945,187000,188500,189000,189900,189000
"Sun Valley","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",40,269900,269000,274900,275000,274900,270000,274900,274900,274900,268000,262450,269900,268450,250000,250000,250777,256500,247000,249000,249000,245000,244900,239900,242350,245000,247500,245000,249900,246300,240000,249971,250000,246300,250000,251100,250000,254950,270000,275000,282450,297000,299900,302500,299000,3e+05,320000,320000,319900,329900,335000,335000,345000,350000,354500,360000,365000,365000,349900,350000,350000,350000,350000,354900,350000,350000,365000,369250,369500,379000,379900,376750,389000,381000,374972.5,385000,387499.5,4e+05,399000,4e+05,4e+05,4e+05,419949.5,420000,420000,429450,425375,446750,440000,439000,435000,435000,435000,449000,439500,440000,449000,449995,450000,472500,479000,475000,475000,459000,454500,469450,479000
"Northridge","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389974.5,414950,407474.5,389000,385000,385000,399000,389900,389450,394450,387000,399900,399945,376000,389900,399950,399900,381950,427250,425000,425000,427000,429500,449000,440000,415000,431750,442500,429250,448500,449000
"Flushing","New York","NY","New York-Newark-Jersey City","Queens County",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255000,265000,275000,277000,277000,273500,274500,262450,277000,279450,270000,269000
"Ahwatukee Foothills","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000,149000,148600,153459,159000,160900,160950,164899.5,150000,158000,159900,159900,158700,158900,169900,169990,174900,170000,172000,179900,179000,182000,185000,175000,184950,178000,189900
"Sylmar","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309990,315000,315000,319000,3e+05,299950,309888,323900,325000,329000,340000,334999,349900,340000,339500,329500,319999,332000,347000,339999,345000,349000,350000,355950,365000,365000,349999.5,369250,369000,374900,385000,387000,379949.5,374900,369900,387000,369900,379500,393327,399500,409000,399000,404200,410000,429000,442475,449000,446900,445950,439947.5,439900,426950,419500,425000,435225,449950,450000,450000
"Boyle Heights","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",45,209950,220000,220000,207450,199900,209950,210000,212450,212450,2e+05,199000,199000,199900,185000,185000,199000,199950,199450,205000,212297,203300,199900,199900,209000,2e+05,214900,210000,199900,215000,223250,210000,205800,214950,229950,227450,235000,249900,249000,249000,250000,278766.5,279000,272450,279000,282500,280000,299000,285000,299949.5,307000,299950,319499.5,3e+05,304000,317999,299000,337000,346450,337000,346450,335000,319000,319900,339000,347000,344900,334900,349000,354950,360000,359900,357450,360000,375500,385000,390000,399000,398000,399000,4e+05,410000,420000,420000,407500,399949.5,411867.5,419800,414999,415000,439000,439900,442500,439900,439900,439950,449900,449450,445000,445000,445000,445000,435000,435000,435000,449888,449888
