"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Clearbrook Park","Monroe","NJ","New York-Newark-Jersey City","Middlesex County",539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146950,154000,162500,149999,152500,159400,159900,154950,159000,163950,161450,152500,155950,157500,149900,149900,146900,149900,160000,159950,159900,166450,170000,169450,169000,167000,164858,167400,159900,154900,159900,165400,164950,179900,185000,189900,172250,179900,184000,190000,195000,189000,189900,189450,204900,219000,219900,207000,219900,205000,219900
"North Ocean City","Ocean City","MD","Salisbury","Worcester County",540,,,,,,,,154900,153500,154450,153500,154000,150000,152700,154900,154900,156400,154700,154500,154700,154700,154900,154500,143200,141500,129900,128000,126000,126000,125450,124900,121850,126999,125950,124900,120875,119945,118000,120875,124894,124888,124000,125000,119900,129900,129900,128000,129900,129900,129900,129900,129000,125000,126900,127500,128550,129990,127500,129000,129450,128950,126900,128500,126900,134900,132000,134950,138500,139000,138750,130000,134900,125000,125000,129900,134900,132500,129900,130995,135000,129900,129900,135000,134995,135000,135000,132650,129950,130000,136000,135500,131500,130000,134900,130000,129900,135000,139000,139900,139900,139900,139450,139900,149900,144900,149700
"Galt Mile","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169250,164900,175000,169000,168000,169000,168000,165700,167500,163900,169900,169900
"Helena Valley Northeast","Helena","MT","Helena","Lewis and Clark County",542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,89949.5,89450,89450,89450,86500,84500,84000,89900,89450,90121,91015.5,95304,91108,91108,90522.5,90923,93504,90122,80000,90122,98054,98054,91108,107000,99000,92500,92500,92250,91800,95000,98900,99000,98950,98900,89000
"Craighead Forest","Jonesboro","AR","Jonesboro","Craighead County",543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56000,53400,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,57000
"Marina Bay","Richmond","CA","San Francisco-Oakland-Hayward","Contra Costa County",544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365500,370000,370000,370000,385000,430000,460000,399000,399000,399000,388750,379000,388000,399000,420000,449000,455000,460000,454750,460000,449500,429500,447250,447250,465000,460000,460000,460000,470000,480000,485000,485000,495000
"North Side Hill","Eau Claire","WI","Eau Claire","Eau Claire County",545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900
"Palmetto Hall","Hilton Head Island","SC","Hilton Head Island-Bluffton-Beaufort","Beaufort County",546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127500,125000,129000,133750,129000,138000,129000,131937.5,134500,141000,142000,139900,139450,134949.5,139900,148000,149000
"Big Sky","Gallatin Gateway","MT","Bozeman","Gallatin County",547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229000,229000,229000,229000,240000,224500,230000,249000,249000,262000,265000,265000,269000,269000,272000,265000,265000
"Twin Peaks","Lake Arrowhead","CA","Riverside-San Bernardino-Ontario","San Bernardino County",548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,117000,115000,113900,107450,99500,98750,99700,103000,115000,118400,119000,119450,125000,116000,129900,124900,131900,129950,135000,135000,135000,138888,129900,129000,130000,135000,137000,148944,159900,159900,154450,149450,152500,139900,139000,139900,135000,135000,129900,132450,142500,149500,169500,177385,169500,159900,158000,150000,150000,169950,157000,155000,144499.5,152499.5,149999,150999.5,164700,164450,182385,169000,172000
"Amber Creek East","North Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,139900,141450,140000,146500,152275,153500,157500,158500,155500,155000,157000,159000,159950,165000,165000,167999,160000,163250,159000,159000,159000,159000,159000,159000,159000,159800
"South Fork","North Bend","WA","Seattle-Tacoma-Bellevue","King County",550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148036,148036,148036,151882.5,151882.5,151882.5,156984,156984,156984,156984,156984,156984,159472,161598,161598,161598,161598,161598,182499,182499,182499,182499,182499,186249,190999,193499,193499
"Flagstaff Ranch","Flagstaff","AZ","Flagstaff","Coconino County",551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,115000,112500,110000,115000,105000,105000,105000,105000,1e+05,1e+05,1e+05,1e+05,99500,1e+05,1e+05,105000,105000,107500,105000,105000,107500,115000,117000,110000,112500,112500,110000,110000,115000,119000,119000,119000,124450,140000,127450,115000,119000,119000,119000,119000
"Cypress Bend","Pompano Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,124900,122400,118900,124900,124990,124990,125000,124990,129500,132000,134500,138555,138000,130000,128900,129500,130000,131750,130000,130000,135000,149900,155000,155000,153200,159500,149000,146500,150500,149450,150000,165000,159900,159900,159900,159900,159700
"Midtown","Ocean City","MD","Salisbury","Worcester County",553,,,,,,,,149250,154900,139900,142400,139900,144484,144692,145900,149000,148125,144900,149000,149900,149900,149000,148000,139900,138999.5,125000,119000,105000,111450,109900,109900,109950,114900,119900,117200,119900,119900,122000,119950,119950,119950,119950,124950,124900,124900,122500,119450,124950,124900,122500,124700,125000,124900,129000,127000,125000,125000,124900,124900,124000,122500,124000,124900,124900,124950,129825,129900,129900,124900,125000,124900,123500,122500,119950,119450,119900,125000,125000,124900,119950,120000,124900,125000,129000,127900,129000,126200,125000,129900,129000,129000,129250,129500,134900,134450,132000,134000,130000,132400,135000,138000,138700,139900,137250,139400,139900
